Date,Open,High,Low,Close,Adj Close,Volume
2016-10-27,144.000000,144.750000,141.149994,141.800003,141.800003,7229997
2016-10-28,141.899994,144.550003,141.649994,143.949997,143.949997,6544009
2016-11-01,144.699997,145.699997,143.300003,143.899994,143.899994,4844200
2016-11-02,141.699997,141.850006,136.199997,136.699997,136.699997,10367286
2016-11-03,136.750000,138.250000,132.500000,133.149994,133.149994,8462202
2016-11-04,132.949997,133.100006,128.699997,131.649994,131.649994,10318429
2016-11-07,139.100006,141.250000,136.300003,140.449997,140.449997,18907953
2016-11-08,139.949997,141.199997,138.149994,140.600006,140.600006,9438660
2016-11-09,129.000000,144.500000,127.050003,142.199997,142.199997,18051951
2016-11-10,147.000000,161.399994,145.899994,159.300003,159.300003,37273635
2016-11-11,157.449997,164.350006,154.350006,155.699997,155.699997,27229891
2016-11-15,157.000000,161.250000,151.300003,154.699997,154.699997,20356688
2016-11-16,158.500000,159.050003,147.750000,148.800003,148.800003,17007653
2016-11-17,149.649994,152.649994,146.500000,147.600006,147.600006,14077616
2016-11-18,148.699997,152.250000,146.250000,149.750000,149.750000,15123798
2016-11-21,150.949997,151.199997,135.149994,136.449997,136.449997,19917880
2016-11-22,138.750000,139.800003,133.800003,137.399994,137.399994,17367369
2016-11-23,138.500000,139.449997,135.899994,137.500000,137.500000,9296620
2016-11-24,135.800003,139.100006,135.000000,137.850006,137.850006,11254248
2016-11-25,139.199997,141.699997,138.500000,140.300003,140.300003,9294203
2016-11-28,134.699997,139.800003,133.550003,137.100006,137.100006,11349555
2016-11-29,137.000000,138.850006,135.350006,136.100006,136.100006,7979580
2016-11-30,136.800003,138.600006,135.399994,138.149994,138.149994,9497325
2016-12-01,138.949997,139.500000,135.699997,136.350006,136.350006,6752406
2016-12-02,135.399994,137.750000,132.899994,134.000000,134.000000,11985518
2016-12-05,133.500000,136.000000,133.000000,135.649994,135.649994,6543450
2016-12-06,136.949997,136.949997,133.750000,134.050003,134.050003,8168652
2016-12-07,134.899994,136.000000,128.649994,131.399994,131.399994,10675568
2016-12-08,132.500000,134.300003,132.199997,133.100006,133.100006,5657612
2016-12-09,133.949997,136.100006,132.500000,135.199997,135.199997,7767465
2016-12-12,135.000000,135.050003,130.350006,130.850006,130.850006,7027428
2016-12-13,130.850006,131.300003,127.849998,129.399994,129.399994,9389839
2016-12-14,129.750000,130.100006,126.699997,127.099998,127.099998,5545921
2016-12-15,125.500000,128.449997,124.699997,126.300003,126.300003,8959317
2016-12-16,126.500000,127.349998,124.599998,125.250000,125.250000,5403339
2016-12-19,125.099998,125.500000,123.550003,124.349998,124.349998,5083897
2016-12-20,124.900002,125.199997,120.800003,121.449997,121.449997,6513285
2016-12-21,121.699997,122.349998,119.849998,120.550003,120.550003,6777947
2016-12-22,120.000000,120.349998,118.000000,119.400002,119.400002,6499471
2016-12-23,119.449997,121.500000,119.099998,120.000000,120.000000,6720177
2016-12-26,119.500000,119.500000,114.000000,115.050003,115.050003,6426119
2016-12-27,114.599998,116.750000,112.650002,116.000000,116.000000,8762885
2016-12-28,116.800003,117.400002,113.599998,113.949997,113.949997,8946526
2016-12-29,113.449997,115.000000,112.000000,113.150002,113.150002,14396639
2016-12-30,113.000000,116.099998,112.550003,115.449997,115.449997,9685951
2017-01-02,117.000000,117.550003,113.199997,115.599998,115.599998,9784247
2017-01-03,115.449997,118.650002,114.300003,118.050003,118.050003,10254310
2017-01-04,118.400002,118.900002,114.849998,115.250000,115.250000,8678158
2017-01-05,116.650002,118.000000,116.199997,117.650002,117.650002,6286481
2017-01-06,118.150002,121.349998,117.750000,119.050003,119.050003,11922173
2017-01-09,119.750000,120.949997,119.349998,119.750000,119.750000,6694500
2017-01-10,120.949997,121.099998,118.300003,119.400002,119.400002,6545625
2017-01-11,120.599998,124.900002,120.150002,123.599998,123.599998,15259256
2017-01-12,124.250000,126.400002,124.000000,126.000000,126.000000,16048380
2017-01-13,126.000000,126.500000,123.599998,125.099998,125.099998,6583850
2017-01-16,124.349998,129.149994,124.000000,128.699997,128.699997,8138804
2017-01-17,129.899994,132.699997,129.250000,130.250000,130.250000,12895124
2017-01-18,130.850006,131.750000,129.500000,130.350006,130.350006,7963577
2017-01-19,130.550003,132.699997,129.100006,132.250000,132.250000,9142340
